site_unique,site_location_name,established_date,description,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,comments,outcrop_lithology,other_outcrop_lithology,plot_dimensions,site_location_visit_id,visit_start_date,visit_end_date,visit_notes,location_description,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number
NTASSD0015-53565,NTASSD0015,2013-03-24T00:00:00,"Andado Station, 2km north of east bore. 10km east of Mac Clark Conservation Reserve. 115km north east of Finke Community",SSD,FLO,SWP,0,,Burnt 2011. grazing impact moderate. Weed impact low Cenchrus ciliaris present. Part of long swamp.,NA,NC,100 x 100 m,53565,2013-03-24T00:00:00,2013-03-24T00:00:00,"",2km north of east bore. 10km east of mac clark conservation reserve.,NC,X,NC,O,4,0,DRY,DRY,1,2,1,562183,7221180,53,WGS84,GPS,P,NC,TRUE,TRUE,TRUE,-25.1239333333333,135.616791666667,SW,NT,2013-03-24,1
NTASSD0016-53566,NTASSD0016,2013-03-22T12:00:00,as per previous ,SSD,PLA,PLA,0,,"-------------- new visit physicalStatusComments start --------------
The site is located on an alluvial plain, with a shallow drainage channel running through the middle from northwest to southeast. The site slopes towards the southeast by a degree or two.

Introduced plant species impact is minimal. Grazing impact is light, with old cattle dung and tracks still visible in the site. Astrebla pectinata, Sporobolus actinocladus and Tripogonella loliiformis tussocks have been modified. Fire history – no sign of previous fire. The site is not homogenous, with vegetation changing in association with the drainage line to support more sedge species and aquatic plants such as Marsilea. Sclerolaena bicornis is also growing more densely near the drainage line. The dominant vegetation community extends at least 100m from the centre of the plot in all directions. Nearest infrastructure is a fenceline 220m northeast of the NE corner. A vehicle access track is located 500m north of the NE corner.

 


-------------- new visit physicalStatusComments end ---------------
Shallow rill running from north west to south east. Site otherwise flat.
 Long unburnt. Weed impact nil. Some cattle pads but grazing impact minimal. Evidence of long haired rat burrows. Closest Acacia peuce- single tree 50m north of quadrat",NA,NC,100 x 100 m,53566,2013-03-22T19:01:33,2013-03-22T19:01:33,"",Mac Clark Conservation Reserve,R,1,P,B,4,0,DRY,DRY,1,2,1,551213,7222758,53,WGS84,GPS,P,NC,TRUE,TRUE,TRUE,-25.1101138888889,135.507997222222,SW,NT,2013-03-22,1
NTASSD0017-53561,NTASSD0017,2013-03-21T00:00:00,"Andado Station, 5km south west of Andado Homestead.  67km east north east of Finke Community",SSD,PLA,HCR,1,360,"Low rise. Long unburnt, No weeds observed. Grazing impact low. Long haired rat holes in site. Adjacent to ACRIS bio monitoring site as16.",NA,NC,100 x 100 m,53561,2013-03-21T00:00:00,2013-03-21T00:00:00,"Adjacent to ACRIS bio monitoring site as16 ",5km south west of Andado Homestead,NC,NC,NC,B,4,1L,DRY,DRY,1,2,1,525974,7182249,53,WGS84,GPS,P,NC,TRUE,TRUE,TRUE,-25.4765888888889,135.258422222222,SW,NT,2013-03-21,1
NTASSD0018-53562,NTASSD0018,2013-01-01T00:00:00,as per previous visit,SSD,PLA,HSL,1,270,"-------------- new visit physicalStatusComments start --------------
Patches of wind blown sand scattered through the site, with different vegetation growing on deeper patches. Introduced plant impact is minimal. Grazing impact low, evidence of old cattle pads and scat, light browsing present on Astrebla and Sporobolus tussock grasses. No evidence of past fire, long unburnt. Nearest infrastructure is Madigan Line 10m from SW corner. Only centre picket marked. Homogeneity, site is homogenous and extends 250m South, 300m North, 150m West, 150m east.
-------------- new visit physicalStatusComments end ---------------
Co-located on NTG ACRIS biomonitoring Site.",NA,NC,100 x 100 m,53562,2013-03-22T23:48:22,2013-03-22T23:48:22, Co-located on NTG ACRIS Biomon Site.,"Mac Clark Conservation Reserve, Andado. Co-located on NTG ACRIS Biomon Site.",NC,0,NC,B,4,0,DRY,DRY,1,2,1,552679,7220793,53,WGS84,GPS,P,NC,TRUE,TRUE,TRUE,-25.1279333333333,135.522638888889,SW,NT,2013-03-22,1
NTASSD0019-53567,NTASSD0019,2013-03-25T00:00:00,"Andado Station, 20 km west of Mac Clarke Conservation Reserve. 118km north east of Finke community",SSD,FLO,DDE,1,180,"Outer margins of Casuarina Swamp (also sampled at site NTASSD0015). Evidence of fires in 2011 - dead Acacias, much bare soil.",NA,NC,100 x 100 m,53567,2013-03-25T00:00:00,2013-03-25T00:00:00,"",20 kms west of Mac Clarke Conservation Reserve on Andado Station. ,NC,X,NC,B,4,0,DRY,DRY,1,2,1,564614,7224440,53,WGS84,GPS,P,NC,TRUE,TRUE,TRUE,-25.0944083333333,135.640791666667,SW,NT,2013-03-25,1
NTASTU0001-58428,NTASTU0001,2016-04-30T12:43:22,"Maryfield Station, 5km south south east of homestead. 39.5km south east of Larrimah",STU,PLA,PLA,0,,Plot is flat- possibly subject to flooding In the wet season. Minimal surface strew- some tiny patches of ironstone gravels.  Lots of termite mounds. Homogeneity- plot is about 160m a fenceline/track and 220m from Stuart highway. 175m from the centre is homogenous.,NA,NC,,58428,2016-04-30T12:43:22,2016-04-30T12:43:22,"Substrate ""unknown"" in point intercept is termite mound",Grazing effect is moderate- noticeable cross fence change.  Long unburnt- no scarring on trees. Introduced species effect low- Stylosanthes viscosa present throughout the site. ,T,1,P,M,4,0,DRY,AVG,1,2,1,329961,8244042,53,WGS84,GPS,A,,TRUE,TRUE,TRUE,-15.8768583333333,133.411919444444,SW,NT,2016-04-30,1
NTASTU0002-58429,NTASTU0002,2016-05-01T16:58:00,As previous.,STU,PLA,PLA,0,,"-------------- new visit physicalStatusComments start --------------
Landform element and pattern is plain on a plain. No discernible slope or aspect. Lithology, 15-20mm diameter ironstone surface strew, particularly in the NW corner. Minimal introduced plant impact. Some evidence of grazing; few chewed grasses and fresh cow scats. Some evidence of fire, with fire scarring on many of the eucalypts, however, not recently burnt. Nearest infrastructure is an access track 150m from the SW corner. Site fairly homogenous, becoming less homogenous towards eastern edge, with more Eucalyptus pruinosa. From the centre of the site, community extends 100m N and S, 50m E & W. 
-------------- new visit physicalStatusComments end ---------------
Plot is flat. Low mound ( Likely anthropogenic) made up of ironstone gravels at the north west corner. Minimal strew through the site but some scattered ironstone gravels. Grazing effect is low- cattle present but effect is low. Fire- long unburnt with minimal scarring and burnt litter. Introduced plant effect is low- some Stylosanthes hamata but cover low.  Homogeneity- north west corner is 65m from track/fence, 135m further on to Stuart highway. Vegetarian community is confined to plot.",NA,NC,,58429,2016-05-01T16:58:00,2016-05-01T16:58:00,"Corymbia polycarpa and Corymbia terminalis combined for Basal area

unknown substrate in point intercept is Termite mound. ","Maryfield Station, 7.6km north north west of homestead. 27.5km south east of Larimah",n/a,X,n/a,TM,4,0,DRY,AVG,1,2,1,326265,8256078,53,WGS84,,A,,TRUE,TRUE,TRUE,-15.7678388888889,133.378233333333,SW,NT,2016-05-01,1
NTASTU0003-58430,NTASTU0003,2016-05-01T15:10:00,Maryfield Station 16km north west of homestead. 18.9km south east of Larrimah,STU,PLA,PLA,0,,"Plain. Surface strew is minimal. Recent fire in last few years- regrowth in Erythrophleum chlorostachys and scarring on the trees. Introduced plant effect is low- some Stylosanthes but cover low. Grazing effect is low. Homogeneity- old disused track 10m from south west corner, 110m to boundary fence/track and 175m from Stuart highway. Community is more or less confined to plot.",NA,NC,,58430,2016-05-01T15:10:00,2016-05-01T15:10:00,"Unknown Substrate in point intercept is termite mound.Corymbia terminalis and Corymbia polycarpa combined for basal wedge



",Maryfield Station 16km north west of homestead. 18.9km south east of Larimah.,n/a,X,n/a,TM,4,1L,DRY,AVG,1,2,1,320785,8262797,53,WGS84,GPS,A,,TRUE,TRUE,TRUE,-15.70665,133.327522222222,SW,NT,2016-05-01,1
NTASTU0004-58426,NTASTU0004,2016-05-03T09:41:51,Mataranka Station 3.9km south east of homestead. 10.2km north west of Mataranka.,STU,SAN,PLA,0,,"Flat plot. Minimal surface strew- sandy at surface. Not grazed at present. Plot is outside fence for station. Plot has not been burnt for 2+ years.  Introduced plant species effect is low Homogeneity- community is contained to the plot. 70m from north east corner is Stuart Highway, South west corner is 10m from station boundary fence.",NA,NC,100m. x 100m.,58426,2016-05-03T09:41:51,2016-05-03T09:41:51,"Substrate ""unknown"" in point intercept is termite mound",Mataranka Station 3.9km south east of homestead. 10.2km north west of Mataranka.,n/a,X,n/a,TM,5,0,WET,AVG,1,2,1,283987,8355867,53,WGS84,GPS,PA,,TRUE,TRUE,TRUE,-14.8638388888889,132.991402777778,SW,NT,2016-05-03,1
NTASTU0005-58427,NTASTU0005,2016-05-03T15:15:53,Mataranka Station 11.7km south east of homestead. 2.3km north west of Mataranka,STU,SAN,PLA,0,,Flat sandy site with minimal surface strew. Introduced plant species effect is moderate- Ocimum tenuiflorum and Bidens pilosa common through the site but cover fairly low. Site not presently grazed. Long unburnt- no scarring on the trees and minimal burnt material in ground layer. Plot is about 45m from a track at the north east corner and 110m from the Stuart highway. Community is confined to the plot. South west corner is 90m from Property boundary fence.,NA,NC,,58427,2016-05-03T15:15:53,2016-05-03T15:15:53,"Substrate ""unknown"" in point intercept is termite mound",Mataranka Station 11.7km south east of homestead. 2.3km north west of Mataranka,n/a,X,n/a,TM,4,0,WET,AVG,1,2,1,290098,8350956,53,WGS84,GPS,PA,,TRUE,TRUE,TRUE,-14.9086444444444,133.047788888889,SW,NT,2016-05-03,1
NTATAN0001-58874,NTATAN0001,2020-08-05T12:00:00,"Singleton Station, 8.2km north - north west from Singleton Station homestead. 6.7km south of Wauchope",TAN,SAN,PLA,0,,"Landform element and pattern is a plain on a sandplain. No slope. No surface strew or lithology. Site is long unburnt (Difficult to tell). No introduced plant impact. Grazing impact is low, evidence of scrub bulls in and around plot. Site is homogenous, extending 75m in all direction from centre (although community is quite extensive). 40m to the North of the site is a Telstra telephone exchange. Access track is 30 west of NW corner.",NA,NA,100 x 100m.,58874,2020-08-05T12:00:00,2020-08-05T12:00:00,"SN1 pt 42 termite mound.
SN5 pt 46 termite mound.
NS4 pt 75 termite mound.
Basal area not recorded.","Singleton Station, 8.2km north - north west from Singleton Station homestead. 6.7km south of Wauchope",n/a,X,n/a,Z,6,0,DRY,DRY,1,45,1,417257.9,7710895.4,53,WGS84,TABLET,P,3 TE IN AO AR BEKKX,TRUE,TRUE,TRUE,-20.6995098,134.2054273,SW,NT,2020-08-05,1
NTATAN0002-58870,NTATAN0002,2020-08-05T13:28:07,"Singleton Station, 8.5km west of homestead. 119km south of Tenant Creek",TAN,SAN,PLA,0,,"Flat plot on a sandplain. No surface strew.  At least 5-10 years since the last fire. There are a few old burnt tree stumps, but fairly strong regrowth with the Acacia spp. Introduced plant species effect is low-  there is a small amount of Cenchrus ciliaris mainly under the Corymbia. Grazing effect is low-  a few old cattle scats throughout the site. Homogeneity: The community continues for 75m from the centre of the plot. Plot close to corner of two tracks. There is a approximately 30m to the south and 25m to the east",NA,NA,100 x 100m.,58870,2020-08-05T13:28:07,2020-08-05T13:28:07,,"Singleton Station, 8.5km west of homestead. 119km south of Tenant Creek",n/a,X,n/a,TM,6,0,DRY,DRY,30,45,30,416735.6,7708304.7,53,WGS84,TABLET,P,3 TE IN AO AR BEKKX,TRUE,TRUE,TRUE,-20.7228814,134.2003669,SW,NT,2020-08-05,1
NTATAN0003-58871,NTATAN0003,2020-08-06T10:31:58,"Singelton Station, 48.4km south west of homestead.  145km south south west of Tennent Creek ",TAN,SAN,PLA,2,180,"Shallow dune slope on a sandplain. Slope and aspect is a 2 degree slope to the south west.  No surface strew or outcrop.  The site is relatively long unburnt-  at least 5 years. Grazing effect is minimal with a evidence of camels present. Introduced plant effect species is minimal- none recorded.  Homogeneity is 100m from centre in all directions. In terms of infrastructure, there is a very old fence and track approximately 60m to the South. , ",NA,NC,100 x 100m.,58871,2020-08-06T10:31:58,2020-08-06T10:31:58,,"Singelton Station, 48.4km south west of homestead.  145km south south west of Tennent Creek ",n/a,X,n/a,Z,6,0,DRY,AVG,1,45,1,382627.7,7686122,53,WGS84,TABLET,P,3 TE IN AO AR BEKKX,TRUE,TRUE,TRUE,-20.9215447,133.8713681,SW,NT,2020-08-06,1
NTATAN0004-58875,NTATAN0004,2020-08-06T12:00:00,"Singelton Station, 47.1km WSW Singleton Homestead. 39km south west of Wycliffe Well",TAN,DUN,DUS,1,270,"Dune slope in a dune field - 1 degree slope to the west. No outcrop or lithology present. Introduced plant impact is minimal - non recorded.  Grazing impact is low, camel seen near plot. Site recently burnt within last year. The majority of the vegetation was burnt except for the crowns of the Corymbia sphaerica. Nearest infrastructure is the access track 30m South of the south west corner. Plot is homogenous and community extends over 100m in all directions.",NA,NA,100 x 100m.,58875,2020-08-06T12:00:00,2020-08-06T12:00:00,No basal collected ,"Singelton Station, 47.1km WSW Singleton Homestead. 39km south west of Wycliffe Well",W,2,A,Z,6,0,DRY,BurntR,30,45,30,384163.6,7686101.5,53,WGS84,TABLET,P,3 TE IN AO AR BEKKX,TRUE,TRUE,TRUE,-20.9217778,133.886123,SW,NT,2020-08-06,1
NTTDAB0001-53580,NTTDAB0001,2014-03-17T00:00:00,"Umbrawarra Conservation Park. 9 km north east of Jindare homestead, 23km south west of Pine Creek",DAB,ESC,HSL,3,135,Grazing effect is low to minimal. Fire- some scars on Eucalyptus tetrodonta and Eucalyptus miniata. Check with Bushfires NT plot data (site is Co-located with Bushfires Leaf fall plot). No introduced species noted. Site slopes more steeply to SW corner averaging 3 degrees through the site and 5 degrees at south west corner where gully is forming. Surface strew is a mix of cobbles and boulders mostly sandstone but possibly also some granite. Climate: At the end of wet season but soil surface is quite dry. On a plateau above Daly River Basin which drops away to the west.,SA,NA,,53580,2014-03-17T00:00:00,2014-03-17T00:00:00,"","Umbrawarra conservation park. 9 km north east of Jindare homestead, 23km south west of Pine Creek.
",R,1,A,X,6,0,DRY,DRY,1,2,1,788910,8454740,52,WGS84,GPS,P,,TRUE,TRUE,TRUE,-13.962875,131.673997222222,SW,NT,2014-03-17,1
NTTDAC0001-53755,NTTDAC0001,2014-03-18T00:00:00,Litchfield National Park. 27 km south west of Bachelor.,DAC,PLA,PLA,0,,"-------------- new visit physicalStatusComments start --------------
No slope or aspect. No outcrop. Gravel present, either ironstone or quartz sandstone. Plain on a plateau. 
-------------- new visit physicalStatusComments end ---------------
No surface strew apart from some ironstone gravel. Fire a few years ago with scorch marks 1/3 of the way up the trees. No introduced species noted. Grazing effect: nil. Homogeneous plot in a vegetation community that extends south, west and east for >200m from centre of plot and north to the adjoining road reserve.",NA,NA,,53755,2014-03-18T00:00:00,2014-03-18T00:00:00,,Litchfield National Park. 27 km south west of Bachelor.,NC,X,NC,Z,5,0,WET,FFR,3,8,3,694644,8546801,52,WGS84,GPS,P,,TRUE,TRUE,TRUE,-13.1398326944444,130.795687083333,SW,NT,2014-03-18,1
NTTDMR0001-53582,NTTDMR0001,2014-03-13T00:00:00,Powell Creek Station. 800m south west of Homestead. East of Lake Woods,DMR,ESC,SWP,1,225,"Small swamp/ Drainage depression. Adjacent to a creek and site goes partially onto levee of a creek ( 10%) other side is 10% on the slope of metamorphic hill. Rest of the site is alluvial. Seepage off the hill. Running water in the site. Long unburnt- 5+ years since fire. Introduced species effect low- some Cenchrus ciliaris close to creek on the levee. No surface strew and very little bare soil. Lots of leaf litter.  No surface strew. An old track cuts through northern part of site. Introduced plant species effect is low- Cenchrus ciliaris present.
",NA,NA,,53582,2014-03-13T00:00:00,2014-03-13T00:00:00,"Notes on point intercept:
Surface water covered parts of the site. The following substrate records were covered with water:
Bare: 85 x points covered
Cryptogam: 1 x point covered with water
Litter: 5 x points covered with water
Gravel: 1 x point covered with water",Powel Creek station. 800m south west of Homestead. East of Lake woods,R,2,A,Z,5,0,WET,FFR,3,8,3,360791,8000470,53,WGS84,GPS,P,,TRUE,TRUE,TRUE,-18.0800416666667,133.684544444444,SW,NT,2014-03-13,1
NTTDMR0002-53581,NTTDMR0002,2014-03-14T00:00:00,4.4km West of Powell Creek Telegraph station,DMR,PLA,PLA,,,"-------------- new visit physicalStatusComments start --------------
Plain on a plain. Negligible slope. No surface outcropping. No signs of recent fire. Introduced plants include C. ciliata, and Achyranthes aspera which is restricted to underneath B. cunninghamii. Grazing is minimal, with C. ciliaris grazed most heavily. Evidence of cattle, with scat throughout the plot. Nearest infrastructure is Powell Creek telegraph station. The community is relatively homogenous, albeit patchy, with patches of Triodia pungens in the Northwest and Southeast corners. There is a creek line in close proximity to the southwest side of the plot
-------------- new visit physicalStatusComments end ---------------
-------------- new visit physicalStatusComments start --------------
Plain on a plain. Negligible slope. No surface outcropping. No signs of recent fire. Introduced plants include C. ciliata, and Achyranthes aspera which is restricted to underneath B. cunninghamii. Grazing is minimal, with C. ciliaris grazed most heavily. Evidence of cattle, with scat throughout the plot. Nearest infrastructure is Powell Creek telegraph station. The community is relatively homogenous, albeit patchy, with patches of Triodia pungens in the Northwest and Southeast corners. There is a creek line in close proximity to the southwest side of the plot
-------------- new visit physicalStatusComments end ---------------
Site is on a broad plain above heavy clays of the Mitchell grass downs. No grazing at present. Introduced species- ground layer dominated by Cenchrus ciliaris. Site burnt within 5 years-evidence of re-sprouting on canopy as well as burnt grass clumps.  Site is flat with only small contours for relief. Vegetation community continues 50m to the north and west and east. To the south borders the road and the community continues 50m beyond that. Site is sandy so no real surface strew.",NA,NC,,53581,2014-03-14T00:00:00,2014-03-14T00:00:00,"",Powell creek station. 4.5km west of Homestead. East of lake woods,NC,X,NC,X,4,0,WET,FFR,1,8,1,355543,8001254,53,WGS84,GPS,P,,TRUE,TRUE,TRUE,-18.0724972222222,133.635022222222,SW,NT,2014-03-14,1
NTTDMR0003-53583,NTTDMR0003,2014-03-14T01:00:00,Powell Creek station. 2.2km west of homestead. South East of Lake Woods,DMR,SAN,PLA,0,,Site is a flat sandplain with the sand in the soil at depth. Termite mounds prominent.. Fire- some scaring but 5+years since last fire. Introduced species effect moderate- Cenchrus ciliaris common through the site. Site has been grazed but no cattle at present. Trees to 8m. Grass layer to 50cms. No surface strew- lots of bare soil and cryptogam.,NA,NA,,53583,2014-03-14T01:00:00,2014-03-14T01:00:00,,Powel Creek station. 2.2km west of homestead. South East of Lake Woods,NC,X,NC,X,4,0,WET,FFR,3,8,3,358924,8001320,53,WGS84,GPS,P,,TRUE,TRUE,TRUE,-18.0720444444444,133.666930555556,SW,NT,2014-03-14,1
NTTMGD0001-53521,NTTMGD0001,2014-03-15T00:00:00,"Newcastle Waters station. 10.6km north north west of homestead, 67km south of Dunmarra roadhouse",MGD,FLO,SWP,1,315,"Grazing effect is low- no evidence of cattle. Probably heavily grazed at other times. Introduced species-some Stylosanthes but effect is low. Fire: long unburnt- no scaring on trees. Slope to the north west of about 1 degree down to Newcastle creek. Mix of metamorphosed rock sandstone gravel etc. likely washed down from surrounding hills. Homogeneity: North west corner is where water currently extends too. Site extends to the south 100m, east is edge of gas line track, 100m to the north and west.",NA,NA,100m x 100m.,53521,2014-03-15T00:00:00,2014-03-15T00:00:00,Only 447 east west points ingested.,"Newcastle Waters station. 10.6km north north west of homestead, 67km south of Dumarra roadhouse",NC,X,NC,X,3,0,WET,FFR,1,2,1,332465,8088444,53,WGS84,GPS,P,,TRUE,TRUE,TRUE,-17.2829694444444,133.423894444444,SW,NT,2014-03-15,1
NTTPCK0001-53584,NTTPCK0001,2014-03-19T00:00:00,"Manton Dam Conservation Reserve. 22km north east of Bachelor, 56km south east of Darwin",PCK,LOW,HSL,5,135,Low hills surrounding Manton dam. Roughly 5 degree slope to the south east. Gets steeper to the south east corner where it dips into a gully. Subsurface damp. Recent fire possibly in last dry season. Check with Bushfires NT plot data (site is Co-located with Bushfires Leaf fall plot) Introduced species- none noted. Grazing effect: nil. Strew is mostly gravels with some boulders at south west corner probably granite- check soil sheet. Smaller strew is a mix of quartz and mudstone likely washed in from hill above site.,SD,NA,,53584,2014-03-19T00:00:00,2014-03-19T00:00:00,"","Manton dam conservation reserve. 22km north east of Bachelor, 56km south east of Darwin",R,1,P,X,6,0,WET,FFR,1,8,1,730922,8576160,52,WGS84,GPS,P,,TRUE,TRUE,TRUE,-12.8719611111111,131.126994444444,SW,NT,2014-03-19,1
NTTSTU0001-53585,NTTSTU0001,2014-03-15T00:00:00,"Hayfield Station. 27km north west of homestead, 15 km north west of Dunmarra roadhouse
",STU,PLA,PLA,0,,Termites mounds prominent. No surface strew or lithology. ,NA,NA,,53585,2014-03-15T00:00:00,2014-03-15T00:00:00,,Lots of dead wood. No sign of recent fire -5+ years. No introduced plant species noted. Grazing effect- minimal. Recent rain with soil very damp.,NC,X,NC,X,3,0,WET,FFR,3,8,3,315602,8160540,53,WGS84,GPS,P,,TRUE,TRUE,TRUE,-16.6302416666667,133.271158333333,SW,NT,2014-03-15,1
QDABBN0001-58730,QDABBN0001,2019-04-07T15:43:12,"Goonderoo Reserve, 1.7km east of homestead. 15km. South of Gindie Gindie, 29.2km north north east of Springsure.",BBN,SAN,PLA,2,180,"Landform element is plain, landform pattern is a sandplain. Very sandy minimal surface strew. No outcrop. Gentle 2 degree slope to South. Site is long unburnt. Previous selective logging, currently a lot of fallen logs. Grazing impact is low. Introduced species is low, Cenchrus ciliaris present. Community is confined to plot. The SE corner is 10-15 in from the track. Northern edge 30m in from the track to the north. Grading of the track has created some disturbance, pushing fallen debris towards the site.",NA,NC,,58730,2019-04-07T15:43:12,2019-04-07T15:43:12,"Soil pit in SE corner
WE2 Termite mounds pt 9,18.
WE3 Termite mounds pt 30.
WE5 Termite mounds pt 61,62.
SN1 Termite mounds pt 34,95.
Unknown is trunk at pt 57.
","Goonderoo Reserve, 1.7km east of homestead. 29.2km north north east of Springsure",n/a,0,n/a,AM,2,0,WET,AVG,30,31,30,618041.6,7360907.1,55,WGS84,,P,,TRUE,TRUE,TRUE,-23.8590080555556,148.158248055556,SW,QLD,2019-04-07,1
QDABBN0002-58741,QDABBN0002,2019-04-08T15:07:27,"Goonderoo Reserve, 38.4km of Emerald. 27.9km north north east of Springsure",BBN,PLA,PLA,0,,"Landform element and pattern is a plain within a plain. No slope. No apparent surface strew or outcrop. Site is long unburnt, No evidence of recent fire. Introduced plant species impact is low, Cenchrus ciliaris and Cactaceae sp. present. Grazing impact is low, kangaroo scat present. Site is homogenous and community extends 100m South, 70m East. To the North and West community transitions to a more open community with less A. excelsa. Nearest infrastructure is access track 40m west of SW corner.",NA,NA,,58741,2019-04-08T15:07:27,2019-04-08T15:07:27,Points 19 to 41 on transect N4-S4 not collected,"Landform element and pattern is a plain within a plain. No slope. No apparent surface strew or outcrop. Site is long unburnt, No evidence of recent fire. Introduced plant species impact is low, Cenchrus ciliaris and Cactaceae sp. present. Grazing impact is low, kangaroo scat present. Site is homogenous and community extends 100m South, 70m East. To the North and West community transitions to a more open community with less Alphitonia excelsa. Nearest infrastructure is access track 40m west of SW corner.Emerald, 38.4km South
Springsure, 27.9km NNE",n/a,0,n/a,AM,3,0,WET,AVG,1,31,1,617027.4,7359706.3,55,WGS84,,PA,,TRUE,TRUE,TRUE,-23.8698788888889,148.149388888889,SW,QLD,2019-04-08,1
QDABBS0001-58708,QDABBS0001,2019-04-04T12:28:49,"Carnarvon Station Reserve, 1.9km ENE Carnarvon Homestead. 51.3km SE Wealwandangie, ",BBS,LOW,PLA,2,225,"Carnarvon Station, Bush Heritage property. Surface strew and lithology- basalt gravel. Slope and aspect- site slopes 1-2 degrees to the South West. Homogeneity- site extends 100m West, 70m North, 80m East, 200m South from centre of plot. Closest infrastructure- track 100m from SW corner. Grazing impact- low, cattle previously on property but since removed. Introduced species impact- low, Rumex and Trifolium. Site last burnt 5 years ago. ",AG,NA,100 x 100m.,58708,2019-04-04T12:28:49,2019-04-04T12:28:49,No basal area data collected. No Leaf Area Index measured.,"Carnarvon Homestead, 1.9km ENE
Wealwandangie, 51.3km SE
Carnarvon Station, Bush Heritage property. Surface strew and lithology- basalt gravel. Slope and aspect- site slopes 1-2 degrees to the South West. Homogeneity- site extends 100m West, 70m North, 80m East, 200m South from centre of plot. Closest infrastructure- track 100m from SW corner. Grazing impact- low, cattle previously on property but since removed. Introduced species impact- low, Rumex and Trifolium. Site last burnt 5 years ago.",n/a,0,n/a,Z,2,0,WET,AVG,1,31,1,577763,7256962.9,55,WGS84,TABLET,P,,TRUE,TRUE,TRUE,-24.800125,147.769381944444,SW,QLD,2019-04-04,1
QDABBS0002-58703,QDABBS0002,2019-04-04T16:31:25,"Carnarvon Station Reserve, 11.5km ssw of homestead. 151km north east of Augathella",BBS,PLA,PLA,0,,"Burnt in December 2017. It has been previously cropped with sunflowers and other crops, but has regenerated with native grasses. A lot more bare ground compared to the QDABBS0001 grassland. Site is flat, no discernible slope. No outcrop or surface strew apparent. Site is 500m from a windmill with a dam, unsure if still in use. Grazing impact is low, no formal grazing, but stray cattle from neighbouring property have grazed in the site. Site sits in an extensive grassland plain, extending East 700m, South 200m to base of a rise, West 1km, North 700m. Nearest infrastructure, old pipe line track (overgrown) 80m from SE.",NA,NA,100 x 100m.,58703,2019-04-04T16:31:25,2019-04-04T16:31:25,Basal area and Leaf Area Index not recorded,"Carnarvon Station Reserve, 11.5km ssw of homestead. 151km north east of Augathella
Burnt in December 2017. It has been previously cropped with sunflowers and other crops, but has regenerated with native grasses. A lot more bare ground compared to the QDABBS0001 grassland. Site is flat, no discernible slope. No outcrop or surface strew apparent. Site is 500m from a windmill with a dam, unsure if still in use. Grazing impact is low, no formal grazing, but stray cattle from neighbouring property have grazed in the site. Site sits in an extensive grassland plain, extending East 700m, South 200m to base of a rise, West 1km, North 700m. Nearest infrastructure, old pipe line track (overgrown) 80m from SE.",n/a,0,n/a,Z,2,0,WET,AVG,30,31,30,564872.6,7253460.4,55,WGS84,TABLET,PA,,TRUE,TRUE,TRUE,-24.8323980555556,147.641971944444,SW,QLD,2019-04-04,1
QDABBS0003-58709,QDABBS0003,2019-04-05T10:23:36,"Carnarvon Station Reserve,  1.7km South West of homestead.  30.6km North West of Mount Moffat",BBS,LOW,HSL,10,30,"Site setup from NE corner. Slope and aspect- 10 degree down toward north. Surface strew and lithology- gravel size metamorphose sandstone. Site previously burnt 3-5 years ago- scarring present on trees and regeneration of Brigalow. Grazing impact low. Land was previously stocked. Introduced species impact- low, some buffel grass and cactus. Homogeneity- community confined to plot. Closest infrastructure- track 35m from NE corner",NA,NA,100 x 100m.,58709,2019-04-05T10:23:36,2019-04-05T10:23:36,,"Carnarvon, 1.7km South West
Mount Moffat, 30.6km North West",n/a,0,n/a,Z,3,0,WET,FFR,1,31,1,574995.6,7254704,55,WGS84,TABLET,PA,,TRUE,TRUE,TRUE,-24.8215838888889,147.741085,SW,QLD,2019-04-05,1
